Id;RentPerWeek;RentPerMonth;LandLord;Status;Furnishing;Type;NumberOfBedrooms;IsFeatured;IsActive;ReferenceNumber;ViewingArrangements;Description;DisplayFrom;AvailableFrom;Area;BuildingName;DoorNumber;Street;PostCode
67;140.00000;606.66670;45;;not specified       ;26;2;0;0;          ;;We offer this two bedroom apartment on the first floor of as a flat sharebetween. A quiet residential road, just off the Kilburn High Road. It is near the well known Tricycle Theatre, local bars, restaurants, shops and close to transport links. The propert;2009-09-07 15:33:50.000;2009-09-07 15:33:50.000;258;;14b;buckley road;nw6 7na   
68;150.00000;650.00000;45;;not specified       ;35;0;0;0;          ;;We are pleased to offer this two bedroom flat as flat share. This property offers a double bedroom, large lounge( which would be a third bedroom),3-piece bathroom, separate toilet and good size kitchen.Five minute walk from Queen Park Tube Station,Sharers ;2009-09-07 15:33:50.000;2009-09-07 15:33:50.000;262;;119;Harvist road;nw66ha    
57;230.00000;996.66670;45;;not specified       ;26;1;0;0;          ;;A large 1 bedroom flat on second floor over looking Queens Park, Large kitchen/diner, Large double bedroom, Large Living room. The Queens Park Station is within a short walking distance and Kilburn High Road is about 10 minutes walking distance from the pr;2009-09-07 15:33:48.000;2009-09-07 15:33:48.000;262;;95;Harvist Road;NW6 6HA   
58;280.00000;1213.33330;45;;not specified       ;26;2;0;0;          ;;A lovely two bedroom apartment on the first floor of a Victorian conversion. A quiet residential road, just off the Kilburn High Road. It is near the well known Tricycle Theatre, local bars, restaurants, shops and close to transport links.  The property co;2009-09-07 15:33:49.000;2009-09-07 15:33:49.000;258;;14B;Buckley Road;NW6 7NA   
59;380.00000;1646.66670;45;;not specified       ;87;4;0;0;          ;;We are pleased to offer you this 4 bedroom, newly refurbished terraced house. 2 Reception rooms,2 Bathrooms, Fitted kitchen, Back and Front Garden. Property is available now, call on 02073725950;2009-09-07 15:33:49.000;2009-09-07 15:33:49.000;251;;25; Gillingham Road;NW2 1RL   
60;110.00000;476.66670;45;;not specified       ;97;1;0;0;          ;;We are happy to offer you 1 double room in a flat share with two other females. The property is located just minutes from Salusbury Road with trendy shops and bars. The flat offers large open plan kitchen/lounge, bathroom and separate toilet to share. Wood;2009-09-07 15:33:49.000;2009-09-07 15:33:49.000;262;;91B;Hartland Road;NW6 6BH   
61;253.00000;1096.33330;45;;not specified       ;3;3;0;0;          ;;We are happy to offer you this spacious three bedroom house in the sought after Walthamstow area. The property offers 2 receptions, 3 spacious bedrooms, fully fitted kitchen, modern bathroom and a garden. Available now.;2009-09-07 15:33:49.000;2009-09-07 15:33:49.000;266;;41;Oakfield Rd;E17 5RN   
62;300.00000;1300.00000;45;;not specified       ;1;0;0;0;          ;;1st floor, 2 double bedrooms flat, Laminated flooring, Fitted kitchen new Central heating system. Close to shops and all local amenities. Clapham Common park and play ground are minutes away. Battersea Rise and Northcote road with all their trendy shops ar;2009-09-07 15:33:49.000;2009-09-07 15:33:49.000;287;;100;Shelgate Road;SW11 1BQ  
51;220.00000;953.33330;45;;not specified       ;126;1;0;0;          ;KEY IN OFFICE;QPRE is happy to offer you this second floor one bedroom apartment with separate fitted kitchen, large reception, spacious 3 pc bathroom, double bedroom. The property is in good condition and benefits of wooden flooring. Situated close to shopping faciliti;2009-09-07 15:33:48.000;2009-09-07 15:33:48.000;255;;794;Harrow Road;nw10 5jx  
52;254.00000;1100.66670;45;;not specified       ;1;4;0;0;          ;;We are happy to offer this newly refurbished 4 bedroom house consisting of three double bedrooms, one single bedroom, Large reception room.separate kitchen, good size garden and off street parking.  The property is close to Kingsbury and Queensbury with ea;2009-09-07 15:33:48.000;2009-09-07 15:33:48.000;283;;22;Malvern Gardens;HA3 9PB   
53;320.00000;1386.66670;45;;not specified       ;1;2;0;0;          ;Call landlord;New on the market spacious and bright 2 bedroom flat located close to local buses and Kilburn Tube Station on Jubilee line. The property offers reception, 2 double bedrooms with walk in wardrobes, fully fitted kitchen, bathroom and separate toilet. Shared ;2009-09-07 15:33:48.000;2009-09-07 15:33:48.000;240;;Flat 4,46;Cavendish Road;NW6 7XP   
54;280.00000;1213.33330;45;;not specified       ;126;2;0;0;14B/BUCK  ;CALL GREG ON 07824357835;A lovely two bedroom apartment on the first floor of a Victorian conversion. A quiet residential road, just off the Kilburn High Road. It is near the well known Tricycle Theatre, local bars, restaurants, shops and close to transport links.  The property co;2009-09-07 15:33:48.000;2009-09-07 15:33:48.000;240;;14B;Buckley road;NW6 7NA   
55;300.00000;1300.00000;45;;not specified       ;26;2;0;0;          ;call tenants & keys in the office;Large and very bright 2 bedroom flat sets on the 2nd floor, opposite the Queens Park and  just minutes walking distance from Queens Park Station. The property benefits from good size reception overlooking the park, 2 double bedrooms, large bathroom with to;2009-09-07 15:33:48.000;2009-09-07 15:33:48.000;262;;119;Harvist Road; NW6 6HA  
56;195.00000;845.00000;45;;not specified       ;26;1;0;0;          ;;We are pleased to offer you a furnished 1 Bedroom self-contained First floor Flat, 2 Reception rooms, Kitchen, Bathroom, Washing machine and Tumble dryer. Close to Willesden Green Station and Bus stops. Local amenities, Library and Restaurants are just a s;2009-09-07 15:33:48.000;2009-09-07 15:33:48.000;264;;15;Staverton Road;NW2 5EY   
45;300.00000;1300.00000;45;;not specified       ;26;2;0;0;          ;Call Jerse;We are happy to offer you this lovely 2 bedroom flat set on the ground floor in a new development located close to local buses, North Circular Road(A406),Bowling Alley and Great North Leisure Park. The closest station is Finchley Central on Northern Line. ;2009-09-07 15:33:47.000;2009-09-07 15:33:47.000;280;Connections House;4;2 Glebe Road;N3 2AX    
46;320.00000;1386.66670;45;;not specified       ;26;2;0;0;          ;KEY IN OFFICE;We are happy to present you this stunning apartment set on the third floor in The Amelia Apartments at Beaufort Park. The property offers large living room with balcony, 2 double bedrooms, fully fitted kitchen and 2 bathrooms (1 en-suite). Use of well equi;2009-09-07 15:33:47.000;2009-09-07 15:33:47.000;270;Amelia Apartments;39;Aerodrome Road;NW9 5JJ   
47;1800.00000;7800.00000;45;;not specified       ;83;4;0;0;          ;call agent;We are happy to offer you this newly refurbished to high standard 4 bedroom spacious house in portered development in St Johns Wood. The property offers 4 bedrooms,3 bathrooms(1 en-suite), fully fitted kitchen, 2 reception rooms, utility room, patio garden;2009-09-07 15:33:47.000;2009-09-07 15:33:47.000;281;Squire Gardens;8;St Johns Wood Road;NW8 8QH   
48;380.00000;1646.66670;45;;not specified       ;126;3;0;0;          ;call Dinos;New on the market newly refurbished 3 bedroom flat in Queens Park. The property is located just minutes from the Queens Park tube station and local amenities. It's a very spacious flat with 3 double bedrooms, open plan kitchen/lounge, large modern bathroom;2009-09-07 15:33:47.000;2009-09-07 15:33:47.000;262;;71;Salusbury Road;NW6 6NJ   
49;850.00000;3683.33330;45;;not specified       ;87;4;0;0;          ;call tenants;A four bedroom house situated within a private gated development with communal gym and swimming pool.The property offers two reception rooms, 4 double bedrooms and one extra room which can be used as a 5th bedroom, fully fitted modern kitchen, 3 bathrooms.;2009-09-07 15:33:47.000;2009-09-07 15:33:47.000;250;;42;Honeyman Close;NW6 7AZ   
50;185.00000;801.66670;45;;not specified       ;26;2;0;0;          ;;We are pleased to offer you this newly refurbished to very high standard  two bedroom flat, on the second floor of an ex- local authority block of flats.The property offers 1double bedroom, a good size single bedroom, an open plan kitchen - lounge and a th;2009-09-07 15:33:47.000;2009-09-07 15:33:47.000;282;Foxberry Court ;13;Foxberry Road;SE4 2SQ   
39;800.00000;3466.66670;45;;not specified       ;1;8;0;0;          ;;We are happy to offer you this lovely and spacious 8 bedroom semi-detached house in Wembley.The property is newly refurbished and offers 8 double bedrooms, large reception, kitchen/diner, 4 bathrooms, garage and garden. Available now. Available for a short;2009-09-07 15:33:46.000;2009-09-07 15:33:46.000;272;;0;Uxendon Crescent;HA9 9TW   
40;400.00000;1733.33330;45;;not specified       ;1;4;0;0;          ;;We are happy to offer you this 4 bedroom house located close to Gladstone Park and Neasden Tube Station. We are happy to offer you this 4 bedroom house located close to Gladstone Park and Neasden Tube Station. The property offers large reception, 4 bedroom;2009-09-07 15:33:46.000;2009-09-07 15:33:46.000;258;;16;Clifford Way;NW10 1AN  
41;250.00000;1083.33330;45;;not specified       ;26;1;0;0;          ;keys;We are happy to present you this stunning apartment sets on the second floor in The Amelia Apartments at Beaufort Park. The property offers large living room with terrace, double bedroom, fully fitted kitchen and a bathroom. Use of well equipped gym and al;2009-09-07 15:33:46.000;2009-09-07 15:33:46.000;270;Amelia Apartments;21;Aerodrome Road;NW9 5JJ   
42;270.00000;1170.00000;45;;not specified       ;1;2;0;0;          ;;We are pleased to offer this lovely two bedroom flat within the Neasden area. The property comprise of one large double bedroom and one good size single bedroom. The property also offer a good size fully fitted kitchen, reception and a stunning bathroom wi;2009-09-07 15:33:46.000;2009-09-07 15:33:46.000;261;;102;Harp Island Close;NW10 0DQ  
43;300.00000;1300.00000;45;1;not specified       ;126;2;1;0;          ;Call Tenants;We present this stunning two bedroom apartment that has been recently refurbished to high standards. Features include a fully fitted kitchen & bathroom, two double bedrooms, double-glazing and part hardwood flooring. ;2009-09-07 00:00:00.000;2009-09-07 00:00:00.000;264;;35A;Chatsworth Road;NW2 4BL   
44;700.00000;3033.33333;45;2;not specified       ;83;4;0;0;          ;Call Tenants;We are happy to offer this lovely, four bedrooms and two Reception Detached house. The property consists of four Bedrooms, 2 Receptions, two Bathrooms (one En-suite) and a Shower cubicle in Loft conversion, Kitchen, Laundry room and Cloakroom.  ;2009-09-07 00:00:00.000;2009-09-07 00:00:00.000;250;;36;Honeyman Close;NW6 7AZ   
33;450.00000;1950.00000;45;;not specified       ;1;3;0;0;          ;;Presented in an excellent condition throughout is this recently refurbished three double bedroom flat situated in this superb purpose built block within a very short walking distance of local shopping amenities and transport links of queen's park .  ;2009-09-07 15:33:45.000;2009-09-07 15:33:45.000;258;;4;Eldon Court, Brondesbury Road;NW6 6AX   
34;350.00000;1516.66670;45;;not specified       ;126;3;0;0;          ;;We are pleased to offer this three double bedroom property with open- plan kitchen lounge, separate toilet and good size bathroom. Available now. ;2009-09-07 15:33:45.000;2009-09-07 15:33:45.000;262;;4;Barrett House, Victoria Road;NW6 4QH   
35;280.00000;1213.33333;45;1;not specified       ;1;2;0;0;          ;;New on the market 2 bedroom first floor flat. This property offers 2 double bedrooms, separate reception, fully fitted kitchen and bathroom. Available now. ;2009-09-07 00:00:00.000;2009-09-07 00:00:00.000;255;;63;Ashburnham Road, Kensal Green ;NW10 5SA  
36;220.00000;953.33330;45;;not specified       ;126;2;0;0;          ;Keys in Office Call Landlady to infom her of veiw;New on the market 2 bedroom flat sets on the 1st floor in this ex-local authority property. The flat offers 2 double bedrooms, reception with balcony, fitted kitchen, bathroom and separate toilet. The property is partly furnished. Available now;2009-09-07 15:33:45.000;2009-09-07 15:33:45.000;254;;34;Mead Court;NW9 0XN   
37;365.00000;1581.66670;45;;not specified       ;26;1;0;0;          ;;We are happy to offer this beautiful one bedroom apartment situated on the 3rd floor in a modern purpose built block. The property offers separate reception, fitted kitchen, double bedroom, bathroom. The property also benefits from 24h portarge, video entr;2009-09-07 15:33:45.000;2009-09-07 15:33:45.000;258;;112;Regents Plaza;NW6 5HU   
38;400.00000;1733.33330;45;;not specified       ;87;4;0;0;          ;;We are happy to offer you this 4 bedroom house located close to Gladstone Park and Neasden Tube Station. The property offers large reception, 4 bedrooms, fitted kitchen, 2 bathrooms, back garden and garage. Available now.Call our office on 020 7372 5950  ;2009-09-07 15:33:45.000;2009-09-07 15:33:45.000;261;;16;Clifford Way;NW10 1AN  
81;270.00000;1170.00000;51;;not specified       ;126;1;0;0;          ;Key in Office from 10./03/08 ;We are happy to present this stunning one bedroom flat that is set in sought after area of Brondesbury Villas. This property offers a large reception, good size double bedroom, contemporary kitchen and bathroom. This property is 10min walk from Queens Park;2009-09-07 15:33:52.000;2009-09-07 15:33:52.000;240;;Flat2 102;Brondesbury Villas;NW6 6AD   
82;200.00000;866.66670;55;;not specified       ;1;1;0;0;          ;Keys in office;New on the market first floor 1 bedroom flat located close to Queens Park Station. The property offers open plan kitchen, double bedroom and bathroom. Available now ;2009-09-07 15:33:52.000;2009-09-07 15:33:52.000;240;;174k;Third Ave;w10 4jl   
83;110.00000;476.66670;56;;not specified       ;35;1;0;0;          ;Keys in Office;Spacious and very bright 3 bedroom flat sets over first and second floor. The property is located just minutes from Salusbury Road with trendy shops and bars. The flat offers large open plan kitchen/lounge, 3 double bedrooms, bathroom and separate toilet. ;2009-09-07 15:33:52.000;2009-09-07 15:33:52.000;262;;91;Hartland Road;NW6 6BH   
84;330.00000;1430.00000;59;;not specified       ;1;3;0;0;          ;Call Owner;We are glad to present to you this purpose built 3 bedroom flat on Dollis Hill Lane. This property has three bedrooms , a separate bathroom and toilet, communal garden with parking facilities, two receptions, a separate kitchen and the property is overlook;2009-09-07 15:33:52.000;2009-09-07 15:33:52.000;240;;31;Nevilles Court;NW2 6HG   
85;599.00000;2595.66670;60;;not specified       ;1;4;0;0;          ;Check file;QPRE is happy to offer you this stunning 4 bedroom family house. The property is located close to Willesden Sport Centre and offers 2 large receptions, 4 bedrooms, 2 bathrooms(1 en-suite), separate toilet, fully fitted kitchen and utility area. Back garden;2009-09-07 15:33:52.000;2009-09-07 15:33:52.000;240;;1;Phillimore Gardens;NW10 3LL  
86;450.00000;1950.00000;61;;not specified       ;1;4;0;0;          ;Call tenants;We are happy to offer this 1st floor 4 bedroom flat in Queens Park. The property is located just minutes to the park and offers 3 double and one single bedrooms, reception, fitted kitchen and bathroom. Available from 11th of September.;2009-09-07 15:33:52.000;2009-09-07 15:33:52.000;262;;102;Harvist Road;NW6 6HL   
87;300.00000;1300.00000;61;;not specified       ;126;2;0;0;          ;keys in the office;We are happy to offer you this 2 bedroom ground floor flat located close to local transport, schools and sport centre in Brondesbury Park. The property offers 2 double bedrooms, reception, fully fitted kitchen and a bathroom. Off Street Parking. Available ;2009-09-07 15:33:53.000;2009-09-07 15:33:53.000;250;;4;Clement Close;NW6 7AL   
88;250.00000;1083.33333;61;2;not specified       ;26;1;0;0;          ;;New on the market spacious 1 bedroom flat set on the 2nd floor of Tarranbrae Court located close to transport and shopping facilities. All interior amenities have been modernized and benefits include a service lift and communal garden. Available from 27th ;2009-12-10 00:00:00.000;2009-12-17 00:00:00.000;264;;19 Tarranbrae Court;Willesden Lane;NW6 7PN   
472;250.00000;1083.33333;61;2;furnished;126;1;0;0;;call the tenants;Spacious 1 bedroom flat set on the 2nd floor of Tarranbrae Court located close to transports and shopping facilities. All interior amenities have been modernized and benefits include a service lift and communal garden.Council tax band D  Call 02073725950 to arrange viewing. Available for ?500.00pw  for shortlet;2010-07-16 00:00:00.000;2010-07-16 00:00:00.000;265;Tarranbrae ;48;176 Willesden lane;nw6 7pn
222;350.00000;1516.66667;61;1;;69;2;0;0;;Call Tenants ;New on the market 2 bedroom garden flat.The property offers 2 double bedrooms, fitted kitchen, reception, bathroom.The property is located close to the Queens Park and just minutes from Queens Park Station and local bars and shop. Available 10th of December 2009;2009-11-11 00:00:00.000;2009-12-10 00:00:00.000;262;;102;Harvist Road;NW6 6HL
89;320.00000;1386.66670;62;;not specified       ;1;1;0;0;          ;;QPRE is happy to offer you this stunning one bedroom flat located close to Willesden Green Station and local amenities. The property is set on the first floor and offers large reception room, double bedroom, fully fitted kitchen and luxury bathroom with se;2009-09-07 15:33:53.000;2009-09-07 15:33:53.000;240;;52;Teignmouth Road;NW2 4DX   
90;200.00000;866.66670;63;;not specified       ;126;2;0;0;          ;;2 bedroom groundfloor flat with 2 bedrooms, open-plan kitchen with dining area, bathroom. The back garden compliments the property. Close to Stonebridge Tube Station. Suitable only for 2 professionals. Available now;2009-09-07 15:33:53.000;2009-09-07 15:33:53.000;272;;23;Heather Park Drive;HAO 1SP   
91;165.00000;715.00000;66;;not specified       ;126;1;0;0;          ;Call landlord;We are happy to offer you this lovely one bedroom flat located just minutes from North Wembley Station. The property offers double bedroom, good size reception, fully fitted kitchen, bathroom and storage room. Back garden compliments the property.Available;2009-09-07 15:33:53.000;2009-09-07 15:33:53.000;272;;13;Winthrop Walk;HA9 7TT   
92;350.00000;1516.66670;67;;not specified       ;1;2;0;0;          ;Call landlord;New on the market 3 bedroom house. The property offers 2 double and 1 single bedroom, 2 receptions(one can be used as the 4th bedroom), fitted kitchen, bathroom and back garden. Available now.;2009-09-07 15:33:53.000;2009-09-07 15:33:53.000;251;;119;Warren Road;NW2 7NH   
93;220.00000;953.33330;69;;not specified       ;126;1;0;0;          ;Call landlord;New on the market 1 bedroom flat located just minutes from Queens Park Station. This flat is set on the 9th floor in a well maintained ex-council property and it offers separate reception, lovely fitted kitchen, double bedroom and a bathroom. The balcony c;2009-09-07 15:33:53.000;2009-09-07 15:33:53.000;258;William Dunbar House;53;Albert Road;NW6 5DE   
94;360.00000;1560.00000;70;;not specified       ;26;2;0;0;          ;Call tenants: Greg: 07906953638;We are happy to offer you this 2 bedroom ground floor flat with small outside space located just minutes from Queens Park Station. The property offers 2 double bedrooms, 2 bathrooms(1 en-suite), fitted kitchen and reception. Available from 1st of June.;2009-09-07 15:33:54.000;2009-09-07 15:33:54.000;259;;15A;Denholme Road;W9 3HU    
95;350.00000;1516.66670;71;;not specified       ;26;3;0;0;          ;keys in the office;3 double bedroom flat with large reception, fitted kitchen and bathroom. The property is situated in a convenient location, close to all local amenities and Willesden Green Station on Jubilee line. Garden and Off Street Parking for 1 car. Available from 24;2009-09-07 15:33:54.000;2009-09-07 15:33:54.000;240;;179;Brondesbury Park;NW2 5JN   
96;380.00000;1646.66670;72;;not specified       ;26;3;0;0;          ;key in the office;We are happy to present you this stunning three double bedroom apartment that has been recently refurbished to high standards. Features including fully fited kitchen and 2 bathrooms(one en-suite), double glazing and part hardwood flooring.Ideally located f;2009-09-07 15:33:54.000;2009-09-07 15:33:54.000;240;;35E;Chatsworth Road;NW2 4BL   
97;130.00000;563.33330;73;;not specified       ;97;1;0;0;          ;;We are happy to offer you this double bedroom which also includes study room in a well maintained to high standard house. Shared fully fitted kitchen and bathroom. Use of garden and parking. Suitable for a professional female. Available now;2009-09-07 15:33:54.000;2009-09-07 15:33:54.000;254;;15;Fairfield Close;NW9 OPX   
98;173.00000;749.66670;74;;not specified       ;70;0;0;0;          ;CALL LANDLORD;Newly refurbished studio flat with own entrance and access to the garden. The property offers fitted kitchen, bathroom and separate room. The property is located close to Preston Road Station on Metropolitan Line, which is 2 stops to Baker Street Station. ;2009-09-07 15:33:54.000;2009-09-07 15:33:54.000;272;;49;Uxendon Hill;HA9 9SQ   
99;210.00000;910.00000;75;;not specified       ;69;1;0;0;          ;Call landlord;We are happy to offer you this newly refurbished one bedroom flat located in Colindale. The property offers reception, kitchen, double bedroom and a bathroom. Share of garden. Suitable for a couple. ALL BILLS INCLUDED. Available now.;2009-09-07 15:33:54.000;2009-09-07 15:33:54.000;270;;89;Crummock Gardens;NW9 0DH   
100;260.00000;1126.66670;76;;not specified       ;126;2;0;0;          ;keys in office;QPRE is pleased to offer you this spacious first floor 2 bedroom apartment in excellent condition. The property benefits from two double bedrooms, fitted kitchen, good size reception, bathroom. situated very close to Queens Park, the park itself is 3 minut;2009-09-07 15:33:55.000;2009-09-07 15:33:55.000;240;;8;Petherton Court, Tiverton Road;NW10 3AJ  
101;240.00000;1040.00000;76;;not specified       ;126;1;0;0;          ;keys in the office, call tenants;We are happy to offer you this lovely one bedroom flat set on the 10th floor in ex-local authority block of flats located close to Westbourne Park Station and trendy bars. The property offers double bedroom, reception, fully fitted kitchen and a bathroom. ;2009-09-07 15:33:55.000;2009-09-07 15:33:55.000;277;Keyham House;54;Westbourne Park Road;W2 5UH    
102;300.00000;1300.00000;76;;not specified       ;26;1;0;0;          ;keys in the office;New on the market a stunning 1 bedroom flat situated directly opposite the northen side of the park of Queens Park. The flat is newly refurbished and it offers a large storage area behind sliding mirror doors in the bedroom, fully fitted open plan kitchen/;2009-09-07 15:33:55.000;2009-09-07 15:33:55.000;262;St. Laurence Court;3;Chevening Road;NW6 6DF   
103;260.00000;1126.66670;76;;not specified       ;126;2;0;0;          ;call tenant, keys in the office;New on the market very bright and spacious 2 bedroom flat located close to Willesden Green tube station. The property offers reception, 2 double bedrooms, fully fitted kitchen and a bathroom. Available from end of September.;2009-09-07 15:33:56.000;2009-09-07 15:33:56.000;264;Kingsley Court;13;St. Paul's Avenue;NW2 5TL   
104;210.00000;910.00000;76;;not specified       ;126;2;0;0;          ;call tenants, key in the office;A two bedroom flat available from 28th of September. The property is newly refurbished with new double glazed windows and close to all amenities on Cricklewood Broadway. Shared terrace area. About ten minutes to Kilburn tube Station and eight minutes to Cr;2009-09-07 15:33:56.000;2009-09-07 15:33:56.000;251;;54B;Cricklewood Broadway;NW2 3ET   
266;230.00000;996.66667;76;1;Fullly Furnished;126;2;0;0;;Call current tenant to book a viewing.;We are delighted to offer this two bedroom 2nd floor apartment situated in a purpose built block on Willesden Lane. Features include fitted kitchen, bathroom/WC, reception & utility room. The property is conveniently located for the varied shopping facilities & transport links. Available 21st February ;2010-02-12 00:00:00.000;2010-02-12 00:00:00.000;264;Peascroft House;12 Peascroft House;Willesden Lane;NW6 7QY
105;220.00000;953.33330;78;;not specified       ;126;2;0;0;          ;keys in the office;We are happy to offer you this newly refurbished first floor flat located just minutes from Queens Park Station and trendy bars and shops on Salusbury Road. The property offers spacious open plan kitchen/lounge, 2 double bedrooms and shower room. Electric ;2009-09-07 15:33:56.000;2009-09-07 15:33:56.000;262;;57;Salusbury Road;NW6 6NJ   
106;260.00000;1126.66667;79;2;not specified       ;126;2;0;0;          ;call tenants;New on the market 2 bedroom flat sets on 2nd floor. The flat consists of 2 double bedrooms, reception, 2 bathrooms(1 en-suite), fully fitted kitchen, dining area, balcony and Off Street Parking. Available from July. Also available for a short let for ?400p;2009-09-07 00:00:00.000;2009-09-07 00:00:00.000;274;;102;Osier Crescent;N10 1RE   
107;600.00000;2600.00000;80;;not specified       ;87;3;0;0;          ;keys;Beautiful 3 bedroom house in a secure estate with security gates, fitted kitchen with dining area and breakfast table, 3 bathrooms,2 receptions, off street parking, communal pool, sauna, gym and jacuzzi. Available from 23rd of July. Also available for shor;2009-09-07 15:33:56.000;2009-09-07 15:33:56.000;250;;38;Honeyman Close;NW6 7AZ   
108;700.00000;3033.33333;81;1;un furnished;1;3;0;1;          ;;A well presented, modern three bedroom house arranged over two floors. The property boasts spacious living area, a double reception room, a dining room, contemporary kitchen, master bedroom with en suite shower room, two further bedrooms, family bathroom, ;2009-09-07 00:00:00.000;2009-09-07 00:00:00.000;262;;9;Radnor Road;NW6 6TT   
109;320.00000;1386.66670;82;;not specified       ;126;2;0;0;          ;;Newly refurbished third floor (top) purpose built flat in this small private block in the popular DeBeauvoir Area. The flat offers two double bedrooms, good sized reception leading to a new kitchen and  a new bathroom. The apartment is close to all local a;2009-09-07 15:33:56.000;2009-09-07 15:33:56.000;275;De Beauvoir Court;20;Northchurch Road;N1 3NX    
110;260.00000;1126.66670;83;;not specified       ;126;2;0;0;          ;;Two double bedroom flat in a new development with concierge and gym, en-suite shower to master bedroom, fitted kitchen with integrated dishwasher, washing machine and fridge freezer. Allocated free parking space. Available from 1st of September. Call our o;2009-09-07 15:33:57.000;2009-09-07 15:33:57.000;276;Stone Court;8;Flint Close;E15 4QT   
111;485.00000;2101.66667;86;2;furnished     ;3;3;0;0;          ;Call landlord;We are happy to offer you this stunning newly refurbished to high standard 3 bedroom house built in the 1950's located close to popular bars and restaurants in Ladbroke Grove. The property offers kitchen with a dining area and a reception on the ground flo;2009-09-07 00:00:00.000;2009-09-07 00:00:00.000;255;;4;Compton Road;NW10 5BX  
112;200.00000;866.66670;87;;not specified       ;1;0;0;0;          ;call fiona P Krama Estate;wly refurbished studio flat comprising of a contemporary kitchen including all new appliances. The studio has been fitted with laminated flooring throughout and double glazed windows. The property offers to the potential tenant's access to 40 sky digital c;2009-09-07 15:33:57.000;2009-09-07 15:33:57.000;251;;8a;Chichele Road;NW2 3DA   
113;300.00000;1300.00000;87;;not specified       ;1;2;0;0;          ;Call P krama Estate agent Fiona;We are pleased to offer this newly refurbished large 2 bedroom apartment. The property comprises of a large contemporary kitchen/dinner with all mod con, including washing machine, microwave, fridge freezer (All appliances are brand new), good size recepti;2009-09-07 15:33:57.000;2009-09-07 15:33:57.000;251;;8;Chichele Road;NW2 3DA   
114;290.00000;1256.66670;88;;not specified       ;69;2;0;0;          ;Key in office;We are happy to offer this newly refurbished 2 bedroom flat located close to Queens Park Station. The property offers 1 double and 1 single bedroom, reception with doors to the garden, fully fitted kitchen and bathroom. This property is unfurnished. Availa;2009-09-07 15:33:57.000;2009-09-07 15:33:57.000;262;;32;Claremont Road;W9 3DZ    
115;400.00000;1733.33330;89;;not specified       ;1;3;0;0;          ;;Queens park real estates is pleased to offer this spacious 3 double bedroom flat set on the second floor of a victorian conversion. the property is a split level flat and comprises of a large reception, fully fitted kitchen dinner, 3 double bedrooms and a ;2009-09-07 15:33:57.000;2009-09-07 15:33:57.000;240;;158;Bravington Road;W9 3AP    
116;185.00000;801.66670;90;;not specified       ;126;1;0;0;          ;KEY IN OFFICE;Newly refurbished Studio Flat in the sought after area of Queens Park located close to trendy pubs and shops on Salusbury Road. The property offers an open plan kitchen/lounge, separate shower room and separate bedroom. Its a stone throw away from Queens P;2009-09-07 15:33:57.000;2009-09-07 15:33:57.000;262;;Flat 9,46;Salsubury Road;NW6 6NN   
117;315.00000;1365.00000;91;;not specified       ;1;2;0;0;          ;;efurbished to the highest standard this 2 double bedrooms flat located on the sough after area off Salusbury Road. The property offers an open plan kitchen/ lounge.  Fully fitted all white kitchen, that consists of glass splash back, dishwasher and all mod;2009-09-07 15:33:58.000;2009-09-07 15:33:58.000;262;;Flat 6,46;Salusbury Road;NW6 6NN   
